WindSpeed;Vd;R%
0;0;0
1;0,03;0,015
2;0,09;0,03
3;0,15;0,045
4;0,17;0,06
5;0,19;0,075
6;0,2;0,09
7;0,56;0,10
8;0,92;0,11
9;0,92;0,12
10;2,11;0,13
11;2,11;0,16
12;2,11;0,20
13;2,11;0,23
